Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-19,14.41036,14.41036,14.41036,14.41036,1
2016-02-22,14.4002,14.9408,14.4002,14.9408,402
2016-02-23,14.9408,15.19992,14.86967,15.19992,606
2016-02-24,15.08002,15.50071,15.08002,15.38995,1625
2016-03-03,15.37979,16.50063,15.37979,16.39901,2077
2016-03-04,16.76991,17.95985,16.76991,17.16012,1391
2016-03-08,16.10025,16.10025,16.10025,16.10025,499
2016-03-10,16.50063,16.50063,16.21,16.21,129
2016-03-14,16.21,16.50063,16.21,16.50063,131
2016-03-15,16.29942,16.39901,16.15005,16.39901,763
2016-03-16,16.39901,17.19975,16.24049,17.19975,1000
2016-03-17,16.39901,17.10017,16.39901,17.10017,282
2016-03-18,16.25065,16.74959,16.25065,16.74959,733
2016-03-21,16.30959,16.30959,15.99965,15.99965,2930
2016-03-22,14.72029,16.17037,14.72029,16.17037,3946
2016-03-23,16.10025,16.10025,16.10025,16.10025,201
2016-03-24,15.62062,15.62062,15.6003,15.6003,210
2016-03-29,15.29951,15.40926,15.29951,15.40926,715
2016-03-30,15.40926,15.40926,15.40011,15.40011,456
2016-03-31,15.40011,15.40011,15.40011,15.40011,115
2016-04-01,15.40011,16.5494,15.40011,16.32991,1961
2016-04-04,16.32991,16.99957,16.10025,16.32991,211
2016-04-05,16.99957,16.99957,16.13988,16.13988,170
2016-04-06,16.98941,16.98941,15.87974,15.87974,83
2016-04-07,16.88982,16.88982,16.88982,16.88982,1
2016-04-08,16.8695,17.50054,15.93055,16.8004,1316
2016-04-11,16.50063,16.50063,15.40011,15.99965,4080
2016-04-12,15.59013,15.96002,15.59013,15.96002,1172
2016-04-13,15.96002,15.96002,15.16029,15.72021,2140
2016-04-14,15.72021,16.94978,15.72021,16.72012,4274
2016-04-15,16.26995,16.44982,16.26995,16.44982,2520
2016-04-18,16.44982,16.84917,15.88991,16.50063,1216
2016-04-19,16.5494,16.5494,15.87974,16.44982,52123
2016-04-20,16.89998,16.89998,16.39088,16.39088,43
2016-04-21,16.39088,16.39088,15.95088,16.39088,553
2016-04-22,16.78007,16.78007,15.73037,16.39088,407
2016-04-25,16.37056,16.37056,15.80048,16.19984,93
2016-04-26,16.35023,16.35023,15.78016,16.32991,198
2016-04-27,15.77,16.28012,15.75984,16.28012,784
2016-04-28,16.28926,16.28926,16.25065,16.25065,11
2016-04-29,16.24049,16.24049,16.19984,16.19984,877
2016-05-02,16.43966,16.43966,16.18968,16.18968,7
2016-05-04,16.39901,16.39901,16.24049,16.24049,5
2016-05-05,16.21,16.21,15.65009,16.16021,882
2016-05-06,16.15005,16.15005,15.52916,16.13988,179
2016-05-09,16.12972,16.12972,15.80048,16.09009,393
2016-05-10,16.09009,16.09009,15.52916,15.99965,417
2016-05-11,15.52916,15.90007,15.52916,15.90007,312
2016-05-12,15.98949,15.98949,15.6003,15.6003,13
2016-05-13,15.96917,15.99965,15.86958,15.99965,4681
2016-05-16,15.99965,15.99965,15.63993,15.80048,153
2016-05-17,15.80048,15.99965,14.90015,15.99965,7111
2016-05-18,15.99965,15.99965,15.22025,15.99965,8985
2016-05-19,15.99965,15.99965,15.50071,15.51087,4206
2016-05-20,15.79032,15.79032,15.62977,15.62977,2
2016-05-23,15.30967,15.50071,15.25988,15.43974,2016
2016-05-24,15.43974,15.43974,15.42958,15.42958,187
2016-05-25,15.43974,15.4499,15.09932,15.09932,2351
2016-05-27,15.4499,15.4499,15.4499,15.4499,9
2016-05-30,15.4499,15.4499,15.4499,15.4499,502
2016-05-31,15.4499,15.4499,15.43974,15.43974,2
2016-06-01,15.43974,15.43974,15.42958,15.42958,10
2016-06-02,15.42958,15.42958,14.5008,15.34016,1650
2016-06-03,15.41942,15.41942,15.23041,15.23041,194
2016-06-06,15.19992,15.19992,15.0099,15.18062,2176
2016-06-07,15.24972,15.24972,15.13997,15.13997,2
2016-06-08,15.15013,15.15013,15.15013,15.15013,246
2016-06-09,15.21009,15.24972,14.65932,15.24972,418
2016-06-10,15.19992,15.19992,14.50994,15.09932,3206
2016-06-13,15.19992,15.19992,15.19992,15.19992,7
2016-06-14,15.19992,15.24972,14.55973,15.24972,1569
2016-06-15,15.19992,15.24972,14.59022,15.24972,1630
2016-06-16,15.24972,15.24972,14.54957,14.79955,5258
2016-06-17,14.99974,14.99974,14.55973,14.79955,2033
2016-06-20,14.79955,14.79955,14.69997,14.69997,112
2016-06-21,14.74976,14.74976,14.54957,14.54957,420
2016-06-22,14.54957,15.43974,14.50994,15.43974,1972
2016-06-23,15.43974,15.43974,14.53941,14.53941,2604
2016-06-24,14.00998,15.40011,13.60047,15.18976,16027
2016-06-27,15.40011,15.40011,14.97941,14.97941,346
2016-06-28,15.24972,15.24972,14.99974,14.99974,3
2016-06-29,15.18062,15.18062,14.5008,14.9408,2304
2016-06-30,15.18976,15.18976,14.30976,14.66948,232
2016-07-01,14.64916,14.65932,14.35955,14.65932,639
2016-07-04,14.44999,14.44999,14.15022,14.44999,1249
2016-07-05,14.63087,14.63087,14.62071,14.62071,62
2016-07-06,14.62071,14.62071,13.9104,14.35955,6053
2016-07-07,14.36971,14.36971,13.9795,14.27013,1750
2016-07-08,14.35955,14.35955,14.18985,14.21017,103
2016-07-11,14.21017,14.4002,14.20001,14.23964,4657
2016-07-12,14.29959,14.4002,14.29959,14.4002,153
2016-07-13,14.60038,14.60038,13.9104,14.1807,930
2016-07-14,14.1807,14.1807,13.90024,13.98966,1100
2016-07-15,14.29045,14.29045,13.87991,13.87991,20259
2016-07-18,13.87991,14.98958,13.87991,14.4002,1787
2016-07-19,14.97941,14.97941,14.8402,14.8402,2
2016-07-20,14.8402,14.8402,14.69997,14.69997,2
2016-07-21,14.69997,14.69997,14.69997,14.69997,1
2016-07-22,14.69997,14.69997,14.59022,14.59022,2
2016-07-25,14.54957,14.69997,13.99982,14.39003,8727
2016-07-26,14.39003,14.67964,13.95003,14.1807,2480
2016-07-27,14.17054,14.17054,13.99982,13.99982,13
2016-07-28,14.16038,14.16038,13.59031,13.89008,2145
2016-07-29,13.89008,13.98966,13.89008,13.98966,2
2016-08-01,13.98966,13.98966,13.98966,13.98966,2
2016-08-02,13.99982,14.47031,13.99982,14.20001,2859
2016-08-03,14.1807,14.39003,13.99982,14.35955,1689
2016-08-04,14.3504,15.46006,14.3504,15.37979,15109
2016-08-05,15.47023,16.50063,14.99974,15.38995,2585
2016-08-08,15.40011,16.63984,14.81988,16.59005,2658
2016-08-09,16.6998,16.6998,15.90007,15.90007,5828
2016-08-10,15.91023,16.19984,15.80048,15.86958,4101
2016-08-11,16.39088,16.39088,15.98949,16.15005,751
2016-08-12,16.19984,16.19984,15.91023,15.97933,667
2016-08-16,16.19984,16.19984,15.35032,15.35032,2931
2016-08-17,15.74967,15.78016,15.25988,15.78016,5288
2016-08-18,15.80048,16.10025,15.10948,15.11965,10286
2016-08-19,15.49055,15.50071,14.41036,14.99974,2927
